,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
859,4572,駐龍,"36,340",49,"3,487,585",97.10,97.10,95.00,96.00,-,1.8,96.00,1,97.00,5,85.71
860,4576,大銀微系統,"98,296",225,"10,136,713",103.50,105.00,102.50,102.50,-,2.5,102.50,19,103.00,2,44.37
861,4581,光隆精密-KY,"29,034",20,"1,001,457",34.60,34.60,34.40,34.45,-,0.05,34.45,15,35.05,2,16.89
862,4720,德淵,"2,147,570","1,024","34,739,142",16.40,16.55,15.95,15.95,-,0.8,15.95,62,16.00,6,35.44
863,4722,國精化,"935,855",724,"39,497,656",42.90,42.90,42.00,42.15,-,0.95,42.10,13,42.15,10,11.09
864,4737,華廣,"7,062",10,"502,944",71.20,71.90,71.00,71.90,-,0.3,70.80,1,71.20,2,43.05
865,4739,康普,"6,256,362","4,627","842,778,747",130.00,137.50,130.00,132.00,-,0.5,132.00,27,132.50,5,30.99
866,4746,台耀,"735,183",629,"41,211,011",56.70,56.90,55.70,55.70,-,0.9,55.70,17,56.00,10,5.18
867,4755,三福化,"4,439,682","3,191","589,782,698",139.00,140.00,130.50,130.50,-,14.5,--,0,130.50,809,28.19
868,4763,材料-KY,"226,324",296,"24,648,274",110.00,111.00,106.50,107.50,-,3.5,107.00,3,108.00,5,12.44
869,4764,雙鍵,"25,089",21,"1,494,702",59.20,60.00,59.20,59.90, ,0.0,59.60,1,60.00,18,44.04
870,4766,南寶,"13,017",13,"1,794,854",138.50,138.50,137.50,137.50,-,1.0,137.00,9,137.50,1,15.31
871,4770,上品,"520,232",510,"139,537,479",268.50,274.00,265.00,265.50,-,8.5,265.50,12,266.50,3,25.17
872,4807,日成-KY,"25,004",25,"653,255",26.50,26.50,25.95,26.20,-,0.3,26.05,2,26.25,1,10.36
873,4904,遠傳,"3,024,043","1,817","195,400,635",64.50,65.00,64.20,65.00, ,0.0,64.80,7,65.00,195,23.47
874,4906,正文,"4,422,987","2,569","135,041,425",30.65,30.80,30.35,30.45,-,0.35,30.40,86,30.45,16,21.44
875,4912,聯德控股-KY,"146,802",111,"22,354,113",153.00,154.50,150.00,150.50,-,2.5,150.00,27,151.00,2,13.87
876,4915,致伸,"5,423,763","3,149","293,478,981",54.60,54.70,53.40,54.70,-,0.5,54.60,33,54.70,158,11.47
877,4916,事欣科,"774,024",531,"21,205,788",28.00,28.00,27.15,27.20,-,1.1,27.20,18,27.25,1,104.62
878,4919,新唐,"15,975,254","10,371","2,219,400,525",140.50,142.50,135.00,135.00,-,7.0,135.00,112,135.50,12,28.78
879,4927,泰鼎-KY,"3,947,827","2,896","481,837,569",124.00,126.00,119.00,121.00,-,4.5,121.00,27,121.50,27,22.20
880,4930,燦星網,"382,622",176,"9,815,704",25.85,25.90,25.45,25.85,-,0.05,25.65,4,25.85,5,7.58
881,4934,太極,"1,379,418",953,"46,818,924",33.80,34.30,33.70,33.80,-,0.1,33.80,63,33.85,10,0.00
882,4935,茂林-KY,"205,352",168,"15,953,942",78.20,78.30,77.40,77.40,-,1.5,77.40,2,77.60,2,7.27
883,4938,和碩,"8,209,189","3,977","575,986,976",70.50,70.80,69.80,70.40,-,0.5,70.30,9,70.40,119,10.76
884,4942,嘉彰,"2,218,462","1,423","111,764,266",51.30,51.30,49.90,49.90,-,1.6,49.90,53,50.00,10,7.71
885,4943,康控-KY,"575,818",445,"15,876,228",27.50,27.95,27.10,27.40,-,0.15,27.40,19,27.45,4,0.00
886,4952,凌通,"431,517",516,"26,299,090",61.80,61.90,60.50,60.50,-,1.7,60.50,36,60.80,3,11.42
887,4956,光鋐,"1,621,964",948,"42,210,505",26.60,26.75,25.65,25.65,-,1.15,25.65,18,25.70,8,17.94
888,4958,臻鼎-KY,"4,269,050","3,677","423,120,002",101.00,101.50,97.80,98.00,-,4.0,98.00,15,98.10,7,10.18
889,4960,誠美材,"3,916,856","1,460","48,780,212",12.70,12.70,12.25,12.30,-,0.5,12.30,79,12.35,97,9.76
890,4961,天鈺,"4,374,561","4,121","936,522,073",218.00,220.00,211.00,211.00,-,10.0,211.00,37,211.50,32,8.03
891,4967,十銓,"822,738",652,"34,960,694",42.80,43.25,42.20,42.35,-,1.05,42.35,2,42.40,2,32.33
892,4968,立積,"903,220","1,057","216,857,534",240.00,247.00,235.50,235.50,-,7.5,235.50,6,236.00,4,24.06
893,4976,佳凌,"714,346",556,"44,563,691",62.20,63.20,62.00,62.00,-,0.4,62.00,9,62.10,5,248.00
894,4977,眾達-KY,"69,338",97,"5,587,642",81.00,81.40,80.00,80.50,-,0.9,80.50,4,80.60,2,15.19
895,4989,榮科,"387,618",456,"16,567,938",42.85,43.70,42.10,42.15,-,1.45,42.15,3,42.25,5,15.00
896,4994,傳奇,"409,730",366,"21,790,393",53.00,54.00,52.10,52.70,-,0.3,52.60,12,52.80,1,21.16
897,4999,鑫禾,"121,631",127,"4,898,870",40.30,40.55,40.15,40.15,-,0.35,40.15,12,40.35,3,11.50
898,5007,三星,"39,362",149,"2,198,099",56.30,56.30,55.50,55.80,-,0.5,55.80,1,56.10,2,16.81
899,5203,訊連,"58,887",60,"5,088,910",86.80,87.40,85.80,85.80,-,0.5,85.80,3,86.10,1,42.48
900,5215,科嘉-KY,"158,634",139,"11,309,449",72.00,72.20,70.60,70.60,-,1.7,70.50,7,70.70,6,6.36
901,5222,全訊,"451,411",593,"74,944,381",168.00,169.50,163.50,164.00,-,6.5,164.00,9,164.50,6,40.49
902,5225,東科-KY,"44,000",17,"919,400",20.90,20.95,20.85,20.85,-,0.3,20.85,3,21.00,6,0.00
903,5234,達興材料,"1,739,712","1,307","217,188,728",125.00,126.50,123.00,124.00,-,3.0,124.00,12,124.50,8,19.28
904,5243,乙盛-KY,"785,207",876,"48,049,031",61.50,62.20,60.70,60.80,-,1.0,60.70,21,60.80,11,21.18
905,5244,弘凱,"1,708,755","1,079","83,569,474",50.00,50.40,47.30,47.65,-,3.15,47.60,10,47.65,21,9.47
