,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1122,9907,統一實,"1,683,916",840,"24,453,722",14.50,14.65,14.45,14.50,-,0.05,14.45,173,14.50,44,16.11
1123,9908,大台北,"117,485",114,"3,882,263",33.10,33.15,33.00,33.00,-,0.05,33.05,1,33.10,44,20.62
1124,9910,豐泰,"1,058,183","1,011","248,641,678",233.50,239.00,231.50,236.50,+,4.0,236.50,5,237.00,2,50.43
1125,9911,櫻花,"121,314",151,"8,238,801",68.00,68.00,67.70,68.00, ,0.0,67.90,1,68.00,21,13.93
1126,9912,偉聯,"24,771",28,"233,062",9.49,9.49,9.27,9.48,+,0.01,9.39,1,9.45,2,0.00
1127,9914,美利達,"583,211","1,610","178,155,290",307.00,308.50,302.50,305.00,-,3.5,305.00,3,305.50,7,21.02
1128,9917,中保科,"189,084",264,"19,239,834",102.50,102.50,101.50,102.00,+,0.5,101.50,24,102.00,24,17.68
1129,9918,欣天然,"18,298",27,"767,046",42.05,42.05,41.85,42.00,-,0.1,41.95,3,42.10,7,22.34
1130,9919,康那香,"6,461,108","3,294","190,571,873",29.80,30.05,29.15,29.20, ,0.0,29.20,38,29.25,6,19.34
1131,9921,巨大,"726,719","1,125","238,516,332",328.50,330.00,324.50,325.50,-,3.0,325.50,1,326.00,1,19.86
1132,9924,福興,"83,689",151,"3,463,839",41.30,41.45,41.30,41.40,-,0.1,41.35,7,41.40,1,11.53
1133,9925,新保,"185,629",129,"7,280,876",39.30,39.30,39.20,39.20,-,0.05,39.20,6,39.25,5,15.94
1134,9926,新海,"1,001",2,"49,548",49.50,49.50,49.50,49.50,+,0.7,48.55,3,49.50,14,20.62
1135,9927,泰銘,"159,146",164,"6,078,643",38.30,38.30,38.05,38.25,-,0.1,38.20,3,38.25,4,8.63
1136,9928,中視,"3,004",5,"20,004",6.66,6.66,6.66,6.66,+,0.06,6.60,1,6.66,10,0.00
1137,9929,秋雨,"10,000",8,"94,440",9.40,9.48,9.38,9.48,-,0.03,9.40,1,9.48,6,0.00
